slice,channel,source_page,source_url,local_path,length,sha256
224,Mn,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mn,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mn/resource/9d97d864-c442-48ca-a93d-471b3c40003e/download/ebsd-sliceimage-224_0_mnk.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_mnk.dat,1049724,FACD0F9EDACE5EE17C10854BD58ACE6D122FE8CA97301E9DD689E46F9401C4BD
224,Mo,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mo,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mo/resource/8d897c50-4cdd-4741-b02f-868a9fb0013d/download/ebsd-sliceimage-224_0_mom.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_mom.dat,1049724,F227536AFB0BD30D0AE5CA71F5614534F6DC1F4352F93CD4B0E93366D9509CBB
224,Na,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_na,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_na/resource/64f84ca4-58ba-46af-940f-9f7fdf1ccb3b/download/ebsd-sliceimage-224_0_nak.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_nak.dat,1049724,FBA472AD0AB8AB4A773FE935787646C07064E826D7B78EBDC9455BA313438241
224,Ni,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ni,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ni/resource/da9df85c-e6f1-4b25-b0bd-e24d7f3e9cd4/download/ebsd-sliceimage-224_0_nik.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_nik.dat,1049724,DE170E979919CF4CC5C53094861FC7FAE8304D44CB440138C8BD0070C4E5C6A4
224,O,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_o,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_o/resource/139febb3-47c6-4ebc-9e40-eeeb2a5a0795/download/ebsd-sliceimage-224_0_ok.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_ok.dat,1049724,4DD8C0E502F342C77BD65A5CB69B2AEDA7CFB73519E2094A758EDBABABF9CA45
224,Si,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_si,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_si/resource/e249359e-3c52-48e8-89c0-ebd43f433b00/download/ebsd-sliceimage-224_0_sik.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_sik.dat,1049724,3F003CDA7B15805CA1B7D669D16A860C5277049D608ACDE08C46EA92C1B66F57
224,Ti,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ti,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ti/resource/5cf038f4-7e74-4b64-a72c-4f2b5445a43b/download/ebsd-sliceimage-224_0_tik.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_tik.dat,1049724,147A92F63B0CADE4390C02FEE26C35EA4A07D01A88D2C30BA58DD8743F83FB66
224,W,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_w,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_w/resource/7688be6d-c693-4853-9c57-50b94861c724/download/ebsd-sliceimage-224_0_wl.dat,data/alloy617_nrds/eds/slice_224/dat/ebsd-sliceimage-224_0_wl.dat,1049724,8266D83520A8C63700CCD154A98CBECBA739DAD1D81329D95AFAF2B14B88A054
225,Al,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_al,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_al/resource/01f2bfa4-526d-49a7-91a7-0bc1ca02248c/download/ebsd-sliceimage-225_0_alk.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_alk.dat,1049724,4FEE5A243ADBBE327A731F54768C472146FEBB1DD9E1EC99079A4E1709BF1E7D
225,CPS,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_all_elements,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_all-elements/resource/6deb95bb-b882-4afa-8320-9e8a2881629b/download/ebsd-sliceimage-225_0_cps.dat,data/alloy617_nrds/all_elements/slice_225/ebsd-sliceimage-225_0_cps.dat,2099384,DC40ED8E9F18C1CB26CCA6CAD744CED1C3FFA10140E2E6272EFD29C87E955754
225,Cl,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cl,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cl/resource/ea2ab400-39d7-4c17-ba45-71dc3011b0b3/download/ebsd-sliceimage-225_0_clk.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_clk.dat,1049724,3735A8FD6FC86A2A19A5F6400CDA6B2D76A62B715F28E90F1E465264D409D345
225,Co,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_co,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_co/resource/f405f057-6be6-4969-afcb-9470e4be7000/download/ebsd-sliceimage-225_0_cok.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_cok.dat,1049724,4EEE7CEB8FA313B811962904D3D328E552CB046C90F0F49F679BD90D3A739C67
225,Cr,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cr,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cr/resource/2fff4794-917f-4fb0-8cd0-80019613fdd4/download/ebsd-sliceimage-225_0_crk.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_crk.dat,1049724,D1940CA676FC96E3E806EF6C9D58A3EDF41B753FAA0D7CE72FE85CB58A6EC4E1
225,F,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_f,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_f/resource/e2427eb9-aee6-48bf-97ea-919d1a121016/download/ebsd-sliceimage-225_0_fk.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_fk.dat,1049724,4D9BE455F35FC52AB31879B007818F1A3480F224152B0FDE15D91DC28494888A
225,Fe,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_fe,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_fe/resource/af41390d-a270-4775-9cb0-60019735f67d/download/ebsd-sliceimage-225_0_fek.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_fek.dat,1049724,6FEF2A65288E204BA9D60520A20999EE43A8712936318A817478415ABA90077E
225,Mg,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mg,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mg/resource/8b04e9fa-8d1b-4ee0-81b5-ce39f83bddb1/download/ebsd-sliceimage-225_0_mgk.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_mgk.dat,1049724,27E28ADA2100B5FEDFD883D47BC2EBB6B51D99C5510083C0AEE1D33305A34057
225,Mn,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mn,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mn/resource/06565d7d-1b70-4d98-8005-8c6c48d63aa9/download/ebsd-sliceimage-225_0_mnk.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_mnk.dat,1049724,244DA75AD1FDEDDF1C4F66FFE2A85670C54173C2FC626E10290E51FB7EB725FB
225,Mo,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mo,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mo/resource/3942bc75-8fb3-45f9-93e9-2a7fcea5a9f1/download/ebsd-sliceimage-225_0_mom.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_mom.dat,1049724,28C6EC4FCC79DE03B6E78E797B87EF31654ABEE6C2E8F60E29E807333CD755F4
225,Na,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_na,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_na/resource/70a8bf53-8e7b-48fa-b3e5-d07f4da7f656/download/ebsd-sliceimage-225_0_nak.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_nak.dat,1049724,8093EBD9C4D8727129DCBE583FD3D0C36927AD4BAFC18683D867816A51C87800
225,Ni,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ni,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ni/resource/d93a5a6f-8539-485d-ba25-7d0a61949861/download/ebsd-sliceimage-225_0_nik.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_nik.dat,1049724,3FBE3230656C76C246BF25C8526A7BCD3C7FFC334F32276B0F555A764FE35F16
225,O,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_o,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_o/resource/f849161e-5abf-402c-b739-24654c9aaab9/download/ebsd-sliceimage-225_0_ok.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_ok.dat,1049724,E0098E362D99D38516B09D753540D0F35D62D1679ED1ED0D6B4944080548077E
225,Si,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_si,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_si/resource/bf9fd9bc-ea7e-4488-ae1b-4933945f6ae5/download/ebsd-sliceimage-225_0_sik.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_sik.dat,1049724,1B6DA8F0C2A96557889A1F1D0AF9AF2248AA1F5F16732989FF4F51BD457127A6
225,Ti,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ti,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ti/resource/6c1aa73f-bfeb-406c-9522-6d0f9287192c/download/ebsd-sliceimage-225_0_tik.dat,data/alloy617_nrds/eds/slice_225/dat/ebsd-sliceimage-225_0_tik.dat,1049724,52819F12992983531C47C2AF1AC61EC27367C9E58C714EA32EEF90EBBECABE13
