fold,slice,policy,trailing_median_composite,trailing_std_composite,final_composite,iterations_in_window,trailing_median_delta_vs_uncertainty
fold_2,085,variogram_eer_4x4_mean_kappa5,0.05142196077285335,0.029104175541246013,0.0,6,-0.12614292785560952
fold_1,001,nested_band_veer_4x4_mean_kappa2,0.22661126607584267,0.07148368491277693,0.22660939446226963,6,0.01787331942117376
fold_1,001,nested_band_veer_4x4_mean_kappa5,0.24233338813132083,0.10894968207802548,0.2595258887507982,6,0.033595441476651916
fold_1,011,nested_band_veer_4x4_mean_kappa2,0.03260653198686182,0.0017902482370630547,0.03281602761490031,6,0.001628929768504074
fold_1,011,nested_band_veer_4x4_mean_kappa5,0.030650971797983408,0.023252506288190825,0.028087297659189346,6,-0.00032663042037434087
fold_1,021,nested_band_veer_4x4_mean_kappa2,0.2320926111166164,0.010191686828111935,0.23286986905564352,6,-0.011803225255007932
fold_1,021,nested_band_veer_4x4_mean_kappa5,0.21145587967407098,0.06304273081763945,0.20279551116830305,6,-0.03243995669755334
fold_1,032,nested_band_veer_4x4_mean_kappa2,0.022678120659109006,0.09121433988771575,0.2666755359517957,6,-0.21545619610682448
fold_1,032,nested_band_veer_4x4_mean_kappa5,0.2512809574967594,0.011431068810981115,0.24875837934808714,6,0.013146640730825887
fold_1,042,nested_band_veer_4x4_mean_kappa2,0.23661216688788542,0.015289266242653523,0.23611027744612534,6,-0.008250742004577954
fold_1,042,nested_band_veer_4x4_mean_kappa5,0.2473815637118576,0.008640173761585395,0.24798236296266174,6,0.002518654819394228
fold_1,053,nested_band_veer_4x4_mean_kappa2,0.0341865755530898,0.011970450213316542,0.04730986028927786,6,-0.029283232165731247
fold_1,053,nested_band_veer_4x4_mean_kappa5,0.05265059147979948,0.01132670489479063,0.05508150388756063,6,-0.010819216239021566
fold_2,054,nested_band_veer_4x4_mean_kappa2,0.24114722646920617,0.012957131128168478,0.2284828670738087,6,0.008884597352685653
fold_2,054,nested_band_veer_4x4_mean_kappa5,0.24121412468941789,0.0013076698749691497,0.2407316986305415,6,0.008951495572897372
fold_2,064,nested_band_veer_4x4_mean_kappa2,0.0393105766739284,0.05778971775535416,0.15660816928458737,6,-0.0010323145065273542
fold_2,064,nested_band_veer_4x4_mean_kappa5,0.04131373073065253,0.01350917850145132,0.06842023795872762,6,0.0009708395501967781
fold_2,075,nested_band_veer_4x4_mean_kappa2,0.0,0.0,0.0,6,-0.16476291047355446
fold_2,075,nested_band_veer_4x4_mean_kappa5,0.0,0.0,0.0,6,-0.16476291047355446
fold_2,085,nested_band_veer_4x4_mean_kappa2,0.16378530635295607,0.06478752421050475,0.16535127385241918,6,-0.013779582275506796
fold_2,085,nested_band_veer_4x4_mean_kappa5,0.05566553993765093,0.1551807118117502,0.0,6,-0.12189934869081194
